time/s	Ewe/V	<I>/mA	cycle number	
2.599948733799414E+005	2.1506104E+000	-8.375508546540522E-002	4.000000000000000E+000
2.600148721830714E+005	2.1496677E+000	-8.400053770236293E-002	4.000000000000000E+000
2.600348707862012E+005	2.1486607E+000	-8.434074342909387E-002	4.000000000000000E+000
2.600548693893296E+005	2.1476030E+000	-8.468524133589783E-002	4.000000000000000E+000
2.600748701924584E+005	2.1465864E+000	-8.502847744783582E-002	4.000000000000000E+000
2.600948711955887E+005	2.1456146E+000	-8.532729610238132E-002	4.000000000000000E+000
2.601148697987176E+005	2.1446216E+000	-8.568333781088111E-002	4.000000000000000E+000
2.601348682018458E+005	2.1436031E+000	-8.597047001050495E-002	4.000000000000000E+000
2.601548668049746E+005	2.1426058E+000	-8.627532879112287E-002	4.000000000000000E+000
2.601748678081045E+005	2.1416447E+000	-8.662572955861081E-002	4.000000000000000E+000
2.601948665112332E+005	2.1405859E+000	-8.695263348049159E-002	4.000000000000000E+000
2.602148628143603E+005	2.1395874E+000	-8.731860018076021E-002	4.000000000000000E+000
2.602348614174901E+005	2.1386070E+000	-8.763690907382360E-002	4.000000000000000E+000
2.602548600206194E+005	2.1376393E+000	-8.794803004448459E-002	4.000000000000000E+000
2.602748609237482E+005	2.1366422E+000	-8.819025494233990E-002	4.000000000000000E+000
2.602948618268776E+005	2.1356308E+000	-8.855325526280522E-002	4.000000000000000E+000
2.603148604300071E+005	2.1346273E+000	-8.887162655144476E-002	4.000000000000000E+000
2.603348590331363E+005	2.1336555E+000	-8.922546815954702E-002	4.000000000000000E+000
2.603548574362656E+005	2.1326740E+000	-8.956731061674211E-002	4.000000000000000E+000
2.603748584393950E+005	2.1316047E+000	-8.988616621464271E-002	4.000000000000000E+000
2.603948572425246E+005	2.1306136E+000	-9.019951027696060E-002	4.000000000000000E+000
2.604148536456535E+005	2.1296365E+000	-9.054083924903367E-002	4.000000000000000E+000
2.604348520487817E+005	2.1286294E+000	-9.086883781979826E-002	4.000000000000000E+000
2.604548506519101E+005	2.1276217E+000	-9.121926332229613E-002	4.000000000000000E+000
2.604748516550404E+005	2.1266043E+000	-9.153162507067358E-002	4.000000000000000E+000
2.604948526581698E+005	2.1255920E+000	-9.186762540684570E-002	4.000000000000000E+000
2.605148510612980E+005	2.1246178E+000	-9.214078849710594E-002	4.000000000000000E+000
2.605348496644264E+005	2.1236632E+000	-9.241421354838553E-002	4.000000000000000E+000
2.605548482675548E+005	2.1226904E+000	-9.278341412768579E-002	4.000000000000000E+000
2.605748491706848E+005	2.1216154E+000	-9.312154371618661E-002	4.000000000000000E+000
2.605948478738139E+005	2.1206117E+000	-9.348124405882863E-002	4.000000000000000E+000
2.606148442769429E+005	2.1196539E+000	-9.380364517352646E-002	4.000000000000000E+000
2.606348428800721E+005	2.1185853E+000	-9.413134411487900E-002	4.000000000000000E+000
2.606548437832013E+005	2.1176529E+000	-9.450096495668869E-002	4.000000000000000E+000
2.606748446863306E+005	2.1166246E+000	-9.481467884390871E-002	4.000000000000000E+000
2.606948432894599E+005	2.1156762E+000	-9.515855490094358E-002	4.000000000000000E+000
2.607148418925891E+005	2.1146269E+000	-9.548216997322873E-002	4.000000000000000E+000
2.607348402957192E+005	2.1136498E+000	-9.580655879584343E-002	4.000000000000000E+000
2.607548412988479E+005	2.1126249E+000	-9.613794207400461E-002	4.000000000000000E+000
2.607748423019770E+005	2.1116393E+000	-9.636928680006074E-002	4.000000000000000E+000
2.607948386051059E+005	2.1105981E+000	-9.669008000596635E-002	4.000000000000000E+000
2.608148349082340E+005	2.1096232E+000	-9.706694879410227E-002	4.000000000000000E+000
2.608348335113623E+005	2.1086357E+000	-9.736960165078945E-002	4.000000000000000E+000
2.608548345144922E+005	2.1075962E+000	-9.769896003469469E-002	4.000000000000000E+000
2.608748353176219E+005	2.1066546E+000	-9.801657449197654E-002	4.000000000000000E+000
2.608948339207503E+005	2.1056287E+000	-9.833449837202327E-002	4.000000000000000E+000
2.609148325238787E+005	2.1046379E+000	-9.864321521369879E-002	4.000000000000000E+000
2.609348311270080E+005	2.1036332E+000	-9.897052971155040E-002	4.000000000000000E+000
2.609548319301377E+005	2.1025808E+000	-9.928959932552139E-002	4.000000000000000E+000
2.609748329332666E+005	2.1016054E+000	-9.963870011033968E-002	4.000000000000000E+000
2.609948293363958E+005	2.1005998E+000	-9.996116783793096E-002	4.000000000000000E+000
2.610148257395255E+005	2.0996182E+000	-1.002769792799936E-001	4.000000000000000E+000
2.610348241426554E+005	2.0986180E+000	-1.005238619930919E-001	4.000000000000000E+000
2.610548251457841E+005	2.0976112E+000	-1.008448293175325E-001	4.000000000000000E+000
2.610758250490699E+005	2.0966423E+000	-1.011787586818795E-001	4.000000000000000E+000
2.610968225523555E+005	2.0955188E+000	-1.015046699523029E-001	4.000000000000000E+000
2.611168235554844E+005	2.0945332E+000	-1.018333912347351E-001	4.000000000000000E+000
2.611368245586145E+005	2.0934999E+000	-1.021791573133677E-001	4.000000000000000E+000
2.611568229617435E+005	2.0925226E+000	-1.024911700879681E-001	4.000000000000000E+000
2.611768215648718E+005	2.0915124E+000	-1.028011692078754E-001	4.000000000000000E+000
2.611968203679998E+005	2.0905530E+000	-1.031142077878766E-001	4.000000000000000E+000
2.612168191711293E+005	2.0895519E+000	-1.034216078360153E-001	4.000000000000000E+000
2.612368175742575E+005	2.0885346E+000	-1.037629143052430E-001	4.000000000000000E+000
2.612568161773859E+005	2.0875030E+000	-1.040780643256880E-001	4.000000000000000E+000
2.612768147805159E+005	2.0864899E+000	-1.044007408958491E-001	4.000000000000000E+000
2.612968156836452E+005	2.0855532E+000	-1.046209849959994E-001	4.000000000000000E+000
2.613168165867734E+005	2.0844827E+000	-1.049905481881420E-001	4.000000000000000E+000
2.613368151899029E+005	2.0835395E+000	-1.053177144820243E-001	4.000000000000000E+000
2.613568137930325E+005	2.0825136E+000	-1.056761938560855E-001	4.000000000000000E+000
2.613768121961618E+005	2.0815458E+000	-1.060089683949713E-001	4.000000000000000E+000
2.613968109992907E+005	2.0805228E+000	-1.063239469946378E-001	4.000000000000000E+000
2.614168098024207E+005	2.0795214E+000	-1.066516292481290E-001	4.000000000000000E+000
2.614368084055502E+005	2.0785453E+000	-1.069555436159489E-001	4.000000000000000E+000
2.614568068086789E+005	2.0775313E+000	-1.073236981764226E-001	4.000000000000000E+000
2.614768054118073E+005	2.0764978E+000	-1.076196046148181E-001	4.000000000000000E+000
2.614968064149371E+005	2.0754888E+000	-1.079488301730591E-001	4.000000000000000E+000
2.615168072180669E+005	2.0744998E+000	-1.082256632457033E-001	4.000000000000000E+000
2.615368058211952E+005	2.0734942E+000	-1.085177013618257E-001	4.000000000000000E+000
2.615568044243241E+005	2.0725667E+000	-1.087487581424456E-001	4.000000000000000E+000
2.615768030274524E+005	2.0715103E+000	-1.091059446685772E-001	4.000000000000000E+000
2.615968017305816E+005	2.0705404E+000	-1.094457974102139E-001	4.000000000000000E+000
2.616168004337098E+005	2.0695040E+000	-1.097618938195137E-001	4.000000000000000E+000
2.616367990368395E+005	2.0684810E+000	-1.100635680311455E-001	4.000000000000000E+000
2.616567976399689E+005	2.0675137E+000	-1.103919994667240E-001	4.000000000000000E+000
2.616767960430981E+005	2.0665195E+000	-1.107552853114960E-001	4.000000000000000E+000
2.616967970462273E+005	2.0655210E+000	-1.110350480276074E-001	4.000000000000000E+000
2.617167980493567E+005	2.0644982E+000	-1.113638772635097E-001	4.000000000000000E+000
2.617367966524859E+005	2.0635209E+000	-1.116863981559240E-001	4.000000000000000E+000
2.617567950556151E+005	2.0624645E+000	-1.119793185292450E-001	4.000000000000000E+000
2.617767936587450E+005	2.0614753E+000	-1.122891263444488E-001	4.000000000000000E+000
2.617967924618730E+005	2.0604897E+000	-1.125371477135122E-001	4.000000000000000E+000
2.618167910650028E+005	2.0595474E+000	-1.127735931436544E-001	4.000000000000000E+000
2.618367896681312E+005	2.0585048E+000	-1.131284363171381E-001	4.000000000000000E+000
2.618567882712600E+005	2.0575392E+000	-1.134116780817220E-001	4.000000000000000E+000
2.618767892743899E+005	2.0565145E+000	-1.137120624313721E-001	4.000000000000000E+000
2.618967900775191E+005	2.0554914E+000	-1.140189622864267E-001	4.000000000000000E+000
2.619167886806480E+005	2.0545208E+000	-1.143113690639477E-001	4.000000000000000E+000
2.619367872837763E+005	2.0535119E+000	-1.146282974313113E-001	4.000000000000000E+000
2.619567858869047E+005	2.0524943E+000	-1.149275690759529E-001	4.000000000000000E+000
2.619767866900344E+005	2.0514846E+000	-1.152450691231506E-001	4.000000000000000E+000
2.619967854931639E+005	2.0504951E+000	-1.155855446470274E-001	4.000000000000000E+000
2.620167818962927E+005	2.0494821E+000	-1.159015705535986E-001	4.000000000000000E+000
2.620367804994219E+005	2.0484660E+000	-1.162153822000611E-001	4.000000000000000E+000
