time/s	Ewe/V	x	Q discharge/mA.h	Q charge/mA.h	
2,765073930148355E+003	3,0032303E+000	9,731400655274354E-001	0,000000000000000E+000	5,663729762571430E-002
2,775073929895734E+003	3,0037458E+000	9,729548309687106E-001	0,000000000000000E+000	5,702788624921897E-002
2,785073929643113E+003	3,0037649E+000	9,727695953024568E-001	0,000000000000000E+000	5,741847720807750E-002
2,795073929390492E+003	3,0040324E+000	9,725843602740193E-001	0,000000000000000E+000	5,780906682202593E-002
2,805073929137870E+003	3,0038605E+000	9,723991268826164E-001	0,000000000000000E+000	5,819965298409636E-002
2,815073928885249E+003	3,0037267E+000	9,722138929153431E-001	0,000000000000000E+000	5,859024036045663E-002
2,825073928632628E+003	3,0039177E+000	9,720286595932326E-001	0,000000000000000E+000	5,898082637641621E-002
2,835073928380007E+003	3,0038223E+000	9,718434267452145E-001	0,000000000000000E+000	5,937141139269662E-002
2,845073928127385E+003	3,0036695E+000	9,716581904186314E-001	0,000000000000000E+000	5,976200374393621E-002
2,855073927874764E+003	3,0036504E+000	9,714729529686006E-001	0,000000000000000E+000	6,015259846409618E-002
2,865073927622143E+003	3,0036886E+000	9,712877203138829E-001	0,000000000000000E+000	6,054318307278016E-002
2,875073927369522E+003	3,0039177E+000	9,711024872943282E-001	0,000000000000000E+000	6,093376845076557E-002
2,885073927116900E+003	3,0040896E+000	9,709172558907946E-001	0,000000000000000E+000	6,132435042118241E-002
2,895073926864279E+003	3,0038795E+000	9,707320204961295E-001	0,000000000000000E+000	6,171494080736448E-002
2,905073926611658E+003	3,0039177E+000	9,705467842580895E-001	0,000000000000000E+000	6,210553297190079E-002
2,915073926359037E+003	3,0037458E+000	9,703615475156517E-001	0,000000000000000E+000	6,249612620001825E-002
2,925073926106415E+003	3,0037458E+000	9,701763103117437E-001	0,000000000000000E+000	6,288672040119975E-002
2,935073925853794E+003	3,0039177E+000	9,699910722301057E-001	0,000000000000000E+000	6,327731645317666E-002
2,945073925601173E+003	3,0042806E+000	9,698058335364739E-001	0,000000000000000E+000	6,366791379561400E-002
2,955073925348552E+003	3,0041277E+000	9,696205967098502E-001	0,000000000000000E+000	6,405850720124734E-002
2,965073925095930E+003	3,0040324E+000	9,694353601526033E-001	0,000000000000000E+000	6,444910003886828E-002
2,975073924843309E+003	3,0039940E+000	9,692501225340895E-001	0,000000000000000E+000	6,483969511429429E-002
2,985073924590688E+003	3,0039940E+000	9,690648861615864E-001	0,000000000000000E+000	6,523028756236161E-002
2,995073924338067E+003	3,0041087E+000	9,688796543025636E-001	0,000000000000000E+000	6,562087049323032E-002
